queue_rank,event_id,cluster_id,candidate_class,evidence_confidence,candidate_evidence_summary,validation_action_required,latitude,longitude
110,FIRMS_0134,91,Industrial Fire,Medium,"Acute transient detection (span 0d) with elevated thermal emission (FRP 7.86MW, TI4 343.5K) inside industrial zone (297m, NDBI 0.14).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.01619,72.63089
111,FIRMS_0141,95,Other Thermal Source,Medium,"Remote from industrial infrastructure (3808m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.17), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.93092,72.26733
112,FIRMS_0171,114,Other Thermal Source,Medium,"Remote from industrial infrastructure (4324m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.21), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.10855,72.38129
113,FIRMS_0175,116,Other Thermal Source,Medium,"Remote from industrial infrastructure (2964m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.37, NDBI -0.13), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.07731,72.45467
114,FIRMS_0176,117,Other Thermal Source,Medium,"Remote from industrial infrastructure (3922m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.31, NDBI 0.08), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.12602,72.52242
115,FIRMS_0177,118,Other Thermal Source,Medium,"Remote from industrial infrastructure (3717m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.31, NDBI 0.11), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.07141,72.39342
116,FIRMS_0180,120,Other Thermal Source,Medium,"Remote from industrial infrastructure (2975m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.41, NDBI 0.03), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.83762,72.65168
117,FIRMS_0189,127,Other Thermal Source,Medium,"Remote from industrial infrastructure (2543m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.15), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.05617,72.30385
118,FIRMS_0146,97,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 9.26MW, TI4 348.1K) inside industrial zone (622m, NDBI 0.07).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.01806,72.67479
119,FIRMS_0147,97,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 5.51MW, TI4 343.6K) inside industrial zone (803m, NDBI 0.04).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.0193,72.672
120,FIRMS_0029,17,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 3.01MW, TI4 335.7K) inside industrial zone (769m, NDBI 0.08).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.02453,72.59813
121,FIRMS_0060,39,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 3.09MW, TI4 339.0K) inside industrial zone (923m, NDBI 0.04).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.01342,72.28349
122,FIRMS_0122,83,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 12.87MW, TI4 344.6K) inside industrial zone (991m, NDBI 0.14).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,22.95614,72.57651
123,FIRMS_0148,98,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 11.90MW, TI4 344.1K) inside industrial zone (884m, NDBI 0.23).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.0284,72.26031
124,FIRMS_0156,104,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 2.34MW, TI4 341.5K) inside industrial zone (846m, NDBI 0.20).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,22.80109,72.33934
125,FIRMS_0158,105,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 13.99MW, TI4 347.2K) inside industrial zone (895m, NDBI 0.12).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,22.88142,72.34779
126,FIRMS_0162,107,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 7.52MW, TI4 345.3K) inside industrial zone (845m, NDBI 0.00).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,23.24856,72.34502
127,FIRMS_0179,119,Industrial Fire,Low,"Acute transient detection (span 0d) with elevated thermal emission (FRP 0.91MW, TI4 338.9K) inside industrial zone (905m, NDBI 0.05).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,22.77568,72.33967
128,FIRMS_0048,32,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2141m) or mixed spectral signals (NDVI 0.15, NDBI 0.21, FRP 7.92MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.94282,72.48921
129,FIRMS_0049,32,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2376m) or mixed spectral signals (NDVI 0.13, NDBI 0.31, FRP 7.92MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.9433,72.4935
130,FIRMS_0050,32,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2014m) or mixed spectral signals (NDVI 0.12, NDBI 0.29, FRP 7.92MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.94755,72.49294
131,FIRMS_0114,80,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5518m) or mixed spectral signals (NDVI 0.25, NDBI 0.22, FRP 3.87MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.09766,72.35985
132,FIRMS_0115,80,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5576m) or mixed spectral signals (NDVI 0.15, NDBI 0.05, FRP 3.02MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.09801,72.35852
133,FIRMS_0202,80,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5307m) or mixed spectral signals (NDVI 0.17, NDBI 0.29, FRP 10.38MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.09537,72.35742
134,FIRMS_0039,25,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2028m) or mixed spectral signals (NDVI 0.12, NDBI -0.03, FRP 5.42MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.96972,72.30669
135,FIRMS_0040,25,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1650m) or mixed spectral signals (NDVI 0.17, NDBI 0.27, FRP 2.38MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.97167,72.30365
136,FIRMS_0045,29,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4436m) or mixed spectral signals (NDVI 0.51, NDBI 0.01, FRP 2.74MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.81946,72.4229
137,FIRMS_0056,29,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4568m) or mixed spectral signals (NDVI 0.40, NDBI 0.12, FRP 6.63MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.81597,72.42524
138,FIRMS_0087,60,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (3112m) or mixed spectral signals (NDVI 0.27, NDBI 0.08, FRP 2.55MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.23714,72.30925
139,FIRMS_0159,60,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (3100m) or mixed spectral signals (NDVI 0.08, NDBI 0.08, FRP 5.15MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.235,72.31001
140,FIRMS_0091,64,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1924m) or mixed spectral signals (NDVI 0.45, NDBI 0.02, FRP 5.25MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.11073,72.68373
141,FIRMS_0092,64,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2218m) or mixed spectral signals (NDVI 0.37, NDBI 0.04, FRP 5.25MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.11145,72.687
142,FIRMS_0129,89,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2475m) or mixed spectral signals (NDVI 0.46, NDBI 0.03, FRP 6.86MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.07861,72.32619
143,FIRMS_0130,89,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2251m) or mixed spectral signals (NDVI 0.31, NDBI 0.08, FRP 6.46MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.08136,72.32452
144,FIRMS_0154,103,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1774m) or mixed spectral signals (NDVI 0.30, NDBI 0.06, FRP 5.29MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.77398,72.62425
145,FIRMS_0155,103,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1479m) or mixed spectral signals (NDVI 0.25, NDBI 0.12, FRP 6.35MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.77813,72.62357
146,FIRMS_0004,2,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2390m) or mixed spectral signals (NDVI 0.32, NDBI 0.18, FRP 10.64MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.12461,72.55163
147,FIRMS_0007,5,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (547m) or mixed spectral signals (NDVI 0.11, NDBI 0.08, FRP 1.66MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.02011,72.61412
148,FIRMS_0017,10,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (272m) or mixed spectral signals (NDVI 0.16, NDBI -0.01, FRP 1.08MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.96043,72.59915
149,FIRMS_0026,16,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1607m) or mixed spectral signals (NDVI 0.18, NDBI 0.11, FRP 2.16MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.83764,72.38744
150,FIRMS_0031,19,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1365m) or mixed spectral signals (NDVI 0.77, NDBI -0.23, FRP 0.46MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.97388,72.81726
151,FIRMS_0032,20,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1068m) or mixed spectral signals (NDVI 0.29, NDBI 0.05, FRP 3.07MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.75499,72.32404
152,FIRMS_0037,23,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1330m) or mixed spectral signals (NDVI 0.42, NDBI 0.03, FRP 3.55MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.85634,72.61441
153,FIRMS_0046,30,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4463m) or mixed spectral signals (NDVI 0.17, NDBI 0.31, FRP 3.66MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.93538,72.38679
154,FIRMS_0047,31,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1276m) or mixed spectral signals (NDVI 0.39, NDBI 0.07, FRP 3.44MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.94121,72.43755
155,FIRMS_0051,33,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4303m) or mixed spectral signals (NDVI 0.18, NDBI 0.29, FRP 5.06MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.98929,72.44418
156,FIRMS_0054,35,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2001m) or mixed spectral signals (NDVI 0.12, NDBI 0.15, FRP 5.74MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.90485,72.6528
157,FIRMS_0055,36,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (434m) or mixed spectral signals (NDVI 0.54, NDBI -0.01, FRP 0.88MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.15413,72.45323
158,FIRMS_0059,38,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4775m) or mixed spectral signals (NDVI 0.15, NDBI 0.17, FRP 3.76MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.82045,72.5416
159,FIRMS_0061,40,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1772m) or mixed spectral signals (NDVI 0.76, NDBI -0.33, FRP 4.43MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.05063,72.27502
160,FIRMS_0064,42,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4582m) or mixed spectral signals (NDVI 0.19, NDBI 0.16, FRP 3.98MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.95219,72.40082
161,FIRMS_0071,46,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2177m) or mixed spectral signals (NDVI 0.24, NDBI 0.16, FRP 1.08MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.99295,72.67189
162,FIRMS_0072,47,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1711m) or mixed spectral signals (NDVI 0.20, NDBI 0.12, FRP 4.38MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.83125,72.57391
163,FIRMS_0076,50,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (7505m) or mixed spectral signals (NDVI 0.16, NDBI 0.08, FRP 2.82MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.24766,72.26569
164,FIRMS_0077,51,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (8949m) or mixed spectral signals (NDVI 0.16, NDBI 0.26, FRP 5.51MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.7878,72.48606
165,FIRMS_0082,55,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (3298m) or mixed spectral signals (NDVI 0.18, NDBI 0.16, FRP 4.33MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.94102,72.52146
166,FIRMS_0083,56,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2318m) or mixed spectral signals (NDVI 0.22, NDBI 0.16, FRP 1.22MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.0004,72.32112
167,FIRMS_0084,57,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1922m) or mixed spectral signals (NDVI 0.19, NDBI 0.17, FRP 3.82MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.07302,72.31764
168,FIRMS_0086,59,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5210m) or mixed spectral signals (NDVI 0.19, NDBI 0.21, FRP 4.09MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.87535,72.47784
169,FIRMS_0088,61,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2456m) or mixed spectral signals (NDVI 0.09, NDBI 0.05, FRP 5.46MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.03316,72.45387
170,FIRMS_0090,63,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5980m) or mixed spectral signals (NDVI 0.18, NDBI 0.15, FRP 12.36MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.21997,72.28629
171,FIRMS_0099,69,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (7655m) or mixed spectral signals (NDVI 0.15, NDBI 0.24, FRP 5.88MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.80832,72.51103
172,FIRMS_0102,71,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2653m) or mixed spectral signals (NDVI 0.16, NDBI 0.11, FRP 5.38MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.04877,72.3171
173,FIRMS_0103,72,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1326m) or mixed spectral signals (NDVI 0.22, NDBI 0.02, FRP 0.59MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.96495,72.54324
174,FIRMS_0104,73,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2102m) or mixed spectral signals (NDVI 0.28, NDBI 0.12, FRP 10.27MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.03078,72.3464
175,FIRMS_0106,75,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1112m) or mixed spectral signals (NDVI 0.55, NDBI -0.00, FRP 1.27MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.99735,72.49593
176,FIRMS_0107,76,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (845m) or mixed spectral signals (NDVI 0.44, NDBI -0.00, FRP 5.70MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.18023,72.4329
177,FIRMS_0113,79,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4566m) or mixed spectral signals (NDVI 0.20, NDBI 0.29, FRP 6.10MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.14291,72.34533
178,FIRMS_0123,84,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (753m) or mixed spectral signals (NDVI 0.21, NDBI 0.24, FRP 2.46MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.95196,72.56094
179,FIRMS_0124,85,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1017m) or mixed spectral signals (NDVI 0.42, NDBI 0.01, FRP 2.55MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.99586,72.54735
180,FIRMS_0127,87,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4588m) or mixed spectral signals (NDVI 0.14, NDBI 0.22, FRP 2.51MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.92534,72.27306
181,FIRMS_0135,92,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1514m) or mixed spectral signals (NDVI 0.23, NDBI 0.11, FRP 6.27MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.07626,72.48165
182,FIRMS_0138,93,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2703m) or mixed spectral signals (NDVI 0.12, NDBI 0.16, FRP 13.70MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.83576,72.56556
183,FIRMS_0144,96,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1941m) or mixed spectral signals (NDVI 0.18, NDBI 0.14, FRP 4.84MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.01009,72.39418
184,FIRMS_0149,99,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2590m) or mixed spectral signals (NDVI 0.01, NDBI 0.09, FRP 4.35MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.14301,72.55698
185,FIRMS_0151,100,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (3699m) or mixed spectral signals (NDVI 0.16, NDBI 0.13, FRP 10.24MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.86737,72.53522
186,FIRMS_0161,106,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1666m) or mixed spectral signals (NDVI 0.13, NDBI 0.16, FRP 4.78MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.08735,72.64814
187,FIRMS_0165,109,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (135m) or mixed spectral signals (NDVI 0.08, NDBI 0.04, FRP 1.14MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.02881,72.27522
188,FIRMS_0166,110,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (404m) or mixed spectral signals (NDVI 0.16, NDBI 0.16, FRP 0.83MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.03378,72.27535
189,FIRMS_0167,111,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (3093m) or mixed spectral signals (NDVI 0.20, NDBI 0.10, FRP 7.92MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.91651,72.39276
190,FIRMS_0168,112,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2447m) or mixed spectral signals (NDVI 0.29, NDBI 0.07, FRP 9.16MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.99721,72.47493
191,FIRMS_0169,113,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (575m) or mixed spectral signals (NDVI 0.19, NDBI 0.13, FRP 1.24MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.89622,72.43168
192,FIRMS_0172,115,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4136m) or mixed spectral signals (NDVI 0.14, NDBI 0.22, FRP 13.22MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.77143,72.3934
193,FIRMS_0181,121,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2387m) or mixed spectral signals (NDVI 0.16, NDBI 0.22, FRP 0.93MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.76736,72.29189
194,FIRMS_0182,122,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (310m) or mixed spectral signals (NDVI 0.22, NDBI 0.16, FRP 0.68MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.91299,72.44592
195,FIRMS_0184,123,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4997m) or mixed spectral signals (NDVI 0.19, NDBI 0.08, FRP 4.52MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.80524,72.28105
196,FIRMS_0185,124,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (364m) or mixed spectral signals (NDVI 0.37, NDBI -0.07, FRP 2.49MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.88043,72.5886
197,FIRMS_0192,128,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1237m) or mixed spectral signals (NDVI 0.28, NDBI -0.01, FRP 1.29MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.97136,72.29837
198,FIRMS_0194,129,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (6080m) or mixed spectral signals (NDVI 0.18, NDBI 0.18, FRP 3.15MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.81406,72.27465
199,FIRMS_0195,130,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5542m) or mixed spectral signals (NDVI 0.18, NDBI 0.10, FRP 2.37MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.81517,72.28223
200,FIRMS_0196,131,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2888m) or mixed spectral signals (NDVI 0.17, NDBI 0.12, FRP 8.97MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.88746,72.6228
201,FIRMS_0198,132,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (80m) or mixed spectral signals (NDVI 0.11, NDBI 0.16, FRP 0.71MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.97047,72.55386
202,FIRMS_0199,133,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2152m) or mixed spectral signals (NDVI 0.15, NDBI 0.14, FRP 3.73MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.84821,72.34388
